HS코드,기간,수출중량,수출금액,수입중량,수입금액,무역수지
8479892090,2023.06,                  16.0,                  14,                   0.5,                  27,                 -13
8508111000,2023.06,                   0.6,                  24,                 503.6,"              15,850","             -15,825"
8508192000,2023.06,                   0.0,                   0,                   1.8,                  59,                 -59
8515211010,2023.06,                 165.5,"               5,754",                  89.4,"               1,772","               3,982"
8515219010,2023.06,                   3.1,                 168,                  16.3,                 537,                -369
8515311010,2023.06,                  20.6,                 735,                   8.5,                 376,                 359
8515319010,2023.06,                   7.2,                 775,                   3.8,                 536,                 239
8427103000,2023.07,                   0.1,                  12,                  66.8,"               2,936","              -2,924"
8428701000,2023.07,                   0.0,                   0,                   9.9,                 218,                -218
8428702000,2023.07,                   4.5,                 231,                   8.6,                 371,                -140
8428709000,2023.07,                  72.6,"               3,305",                  35.7,"               1,052","               2,253"
8479501000,2023.07,                  52.8,                 481,                   2.6,                 489,                  -9
8479502000,2023.07,                   0.3,                 134,                   0.0,                   0,                 134
8479509000,2023.07,                 277.7,"               9,883",                 779.0,"              21,774","             -11,892"
8479892010,2023.07,                 414.7,"              15,274",                 108.2,"               6,269","               9,004"
8479892090,2023.07,                  15.1,                 168,                  27.5,                 170,                  -2
8508111000,2023.07,                   2.9,                 125,                 457.5,"              14,170","             -14,045"
8508192000,2023.07,                   0.0,                   0,                   0.9,                  41,                 -41
8515211010,2023.07,                 138.1,"               3,392",                 114.6,"               2,183","               1,209"
8515212010,2023.07,                   0.0,                   0,                   0.8,                  15,                 -15
8515219010,2023.07,                   0.3,                 118,                   0.0,                   0,                 118
8515311010,2023.07,                   0.0,                  10,                   5.8,                 261,                -250
8515319010,2023.07,                  14.8,                 736,                   4.5,                 298,                 439
8424202010,2023.08,                   3.3,                 420,                   1.0,                  55,                 364
8427103000,2023.08,                  16.9,"               1,006",                  18.1,                 854,                 151
8428701000,2023.08,                   0.0,                   0,                   4.3,                 110,                -110
8428702000,2023.08,                  21.3,"               1,181",                   7.4,                 911,                 270
8428709000,2023.08,                  43.6,"               2,730",                  23.2,"               1,489","               1,241"
8479501000,2023.08,                  97.8,                 439,                   4.1,                 628,                -189
8479502000,2023.08,                   0.0,                  44,                   0.0,                   0,                  44
8479509000,2023.08,                 128.7,"               7,330",                 668.6,"              18,333","             -11,003"
8479892010,2023.08,                 350.5,"              10,571",                  63.8,"               3,730","               6,841"
8479892090,2023.08,                  27.3,                 564,                   0.1,                   6,                 558
